"industry_name","total_layoffs","hiring_activity","hiring_to_layoff_ratio"
"Other",55455,264,0.0048
"Hardware",51265,154,0.0030
"Retail",41675,463,0.0111
"Consumer",41527,770,0.0185
"Transportation",30495,133,0.0044
"Finance",28487,655,0.0230
"Food",28041,66,0.0024
"Healthcare",22378,353,0.0158
"Infrastructure",15126,78,0.0052
"Sales",11422,84,0.0074
"HR",8912,160,0.0180
"Education",8755,19,0.0022
"Travel",7675,103,0.0134
"Data",7637,84,0.0110
"Media",7601,62,0.0082
"Manufacturing",7350,29,0.0039
"Marketing",6773,118,0.0174
"Security",6381,159,0.0249
"Crypto",6016,24,0.0040
"Energy",5614,22,0.0039
"Support",5163,36,0.0070
"Real Estate",3219,95,0.0295
"Recruiting",2797,35,0.0125
"Logistics",2611,22,0.0084
"Aerospace",1811,92,0.0508
"Fitness",1153,18,0.0156
"Product",1044,14,0.0134
"Legal",436,17,0.0390
"AI",288,3,0.0104
"Construction",100,1,0.0100
