"layoff_month","industry","monthly_layoffs","rolling_3m_avg"
"2020-03","Aerospace",451,451
"2020-04","Aerospace",40,246
"2020-06","Aerospace",70,187
"2022-09","Aerospace",100,70
"2022-11","Aerospace",NULL,85
"2023-06","Aerospace",NULL,100
"2023-07","Aerospace",75,75
"2023-08","Aerospace",117,96
"2023-09","Aerospace",NULL,96
"2023-10","Aerospace",40,79
"2023-11","Aerospace",265,153
"2024-04","Aerospace",30,112
"2024-05","Aerospace",34,110
"2024-06","Aerospace",250,105
"2024-09","Aerospace",NULL,142
"2024-11","Aerospace",NULL,250
"2024-12","Aerospace",1000,1000
"2025-02","Aerospace",1000,1000
"2023-07","AI",NULL,NULL
"2023-08","AI",60,60
"2023-10","AI",20,40
"2023-11","AI",150,77
"2024-04","AI",32,67
"2024-07","AI",20,67
"2024-08","AI",6,19
"2024-09","AI",NULL,13
"2025-02","AI",65,36
"2025-03","AI",22,44
"2025-04","AI",77,55
"2025-05","AI",10,36
"2025-07","AI",100,62
"2025-08","AI",30,47
"2025-09","AI",550,227
"2025-12","AI",60,213
"2026-01","AI",50,220
"2026-02","AI",280,130
"2026-03","AI",NULL,165
"2020-03","Construction",60,60
"2020-04","Construction",256,158
"2020-06","Construction",400,239
"2020-07","Construction",180,279
"2021-06","Construction",2434,1005
"2022-06","Construction",140,918
"2022-07","Construction",NULL,1287
"2022-08","Construction",70,105
"2022-10","Construction",210,140
"2022-12","Construction",13,98
"2023-01","Construction",100,108
"2023-02","Construction",NULL,57
"2023-04","Construction",NULL,100
"2023-07","Construction",NULL,NULL
"2023-10","Construction",NULL,NULL
"2023-11","Construction",NULL,NULL
"2024-01","Construction",NULL,NULL
"2025-01","Construction",114,114
"1900-01","Consumer",700,700
"2020-03","Consumer",840,770
"2020-04","Consumer",3269,1603
"2020-05","Consumer",1450,1853
"2020-06","Consumer",186,1635
"2020-07","Consumer",68,568
"2020-08","Consumer",250,168
"2021-01","Consumer",1800,706
"2021-02","Consumer",NULL,1025
"2021-08","Consumer",1800,1800
"2021-09","Consumer",NULL,1800
"2022-01","Consumer",80,940
"2022-04","Consumer",180,130
"2022-05","Consumer",677,312
"2022-06","Consumer",413,423
"2022-07","Consumer",143,411
"2022-08","Consumer",1773,776
"2022-09","Consumer",NULL,958
"2022-10","Consumer",65,919
"2022-11","Consumer",15570,7818
"2022-12","Consumer",955,5530
"2023-01","Consumer",12739,9755
"2023-02","Consumer",2924,5539
"2023-03","Consumer",10960,8874
"2023-04","Consumer",198,4694
"2023-05","Consumer",NULL,5579
"2023-06","Consumer",335,267
"2023-07","Consumer",80,208
"2023-08","Consumer",567,327
"2023-09","Consumer",1145,597
"2023-10","Consumer",55,589
"2023-11","Consumer",1060,753
"2023-12","Consumer",240,452
"2024-01","Consumer",3700,1667
"2024-02","Consumer",2790,2243
"2024-03","Consumer",81,2190
"2024-04","Consumer",829,1233
"2024-05","Consumer",1453,788
"2024-06","Consumer",450,911
"2024-07","Consumer",365,756
"2024-08","Consumer",451,422
"2024-10","Consumer",1000,605
"2024-11","Consumer",105,519
"2024-12","Consumer",NULL,553
"2025-01","Consumer",NULL,105
"2025-02","Consumer",3950,3950
"2025-03","Consumer",300,2125
"2025-04","Consumer",417,1556
"2025-05","Consumer",505,407
"2025-06","Consumer",430,451
"2025-07","Consumer",200,378
"2025-08","Consumer",208,279
"2025-09","Consumer",1540,649
"2025-10","Consumer",860,869
"2025-11","Consumer",1330,1243
"2025-12","Consumer",24,738
"2026-01","Consumer",3360,1571
"2026-02","Consumer",1000,1461
"2026-03","Consumer",1000,1787
"2026-04","Consumer",345,782
"2020-04","Crypto",91,91
"2022-04","Crypto",75,83
"2022-05","Crypto",160,109
"2022-06","Crypto",3085,1107
"2022-07","Crypto",490,1245
"2022-08","Crypto",166,1247
"2022-09","Crypto",210,289
"2022-10","Crypto",2060,812
"2022-11","Crypto",1676,1315
"2022-12","Crypto",341,1359
"2023-01","Crypto",1974,1330
"2023-02","Crypto",365,893
"2023-03","Crypto",75,805
"2023-04","Crypto",33,158
"2023-05","Crypto",30,46
"2023-06","Crypto",1016,360
"2023-07","Crypto",1141,729
"2023-08","Crypto",44,734
"2023-09","Crypto",100,428
"2023-10","Crypto",276,140
"2023-11","Crypto",50,142
"2024-02","Crypto",80,135
"2024-03","Crypto",22,51
"2024-05","Crypto",28,43
"2024-06","Crypto",95,48
"2024-09","Crypto",NULL,62
"2024-10","Crypto",563,329
"2024-12","Crypto",124,344
"2025-02","Crypto",200,296
"2025-07","Crypto",76,133
"2026-01","Crypto",60,112
"2026-03","Crypto",NULL,68
"2020-03","Data",230,230
"2020-04","Data",400,315
"2020-05","Data",262,297
"2020-06","Data",82,248
"2020-08","Data",NULL,172
"2020-09","Data",240,161
"2020-11","Data",NULL,240
"2020-12","Data",54,147
"2021-01","Data",20,37
"2021-03","Data",NULL,37
"2021-11","Data",70,45
"2022-02","Data",NULL,70
"2022-03","Data",159,115
"2022-05","Data",175,167
"2022-06","Data",347,227
"2022-07","Data",160,227
"2022-08","Data",48,185
"2022-09","Data",25,78
"2022-10","Data",85,53
"2022-11","Data",306,139
"2022-12","Data",24,138
