"funding_stage","total_companies_affected","total_jobs_lost","avg_pct_laid_off","risk_rank"
"Seed",112,1551,0.8216,1
"Series A",157,5957,0.4761,2
"Series B",282,25568,0.3547,3
"Acquired",163,48045,0.3311,4
"Subsidiary",16,2513,0.2806,5
"Series C",226,18698,0.2538,6
"Series D",189,21803,0.2017,7
"Series E",101,17457,0.1829,8
"Private Equity",41,8968,0.1828,9
"Post-IPO",387,414336,0.1673,10
"Series F",55,11237,0.1613,11
"Series G",14,4419,0.1525,12
"Series H",14,7081,0.1512,13
"Series J",3,2350,0.1340,14
"Series I",6,2355,0.0871,15
