"experience_level","remote_ratio","work_year","median_salary","prev_year_salary","yoy_growth_pct"
"EX",100,2022,175000,194333.5,-9.9
"SE",100,2022,139300,150000,-7.1
"SE",0,2022,136000,157500,-13.7
"MI",0,2022,85000,26005,226.9
"MI",100,2022,78526,89327,-12.1
"MI",50,2022,58255,66022,-11.8
"EN",100,2022,49079,70000,-29.9
"EX",100,2021,194333.5,NULL,NULL
"SE",0,2021,157500,NULL,NULL
"SE",100,2021,150000,148261,1.2
"MI",100,2021,89327,95000,-6.0
"EN",0,2021,88416.5,NULL,NULL
"SE",50,2021,82744,118552,-30.2
"EN",100,2021,70000,71000,-1.4
"MI",50,2021,66022,54742.5,20.6
"EN",50,2021,52323,43948,19.1
"MI",0,2021,26005,65006.5,-60.0
"SE",100,2020,148261,NULL,NULL
"SE",50,2020,118552,NULL,NULL
"MI",100,2020,95000,NULL,NULL
"EN",100,2020,71000,NULL,NULL
"MI",0,2020,65006.5,NULL,NULL
"MI",50,2020,54742.5,NULL,NULL
"EN",50,2020,43948,NULL,NULL
